34200.000000000,1,1,190,270100,1
34200.002615147,1,2,102,270300,-1
34200.062267944,1,3,54,270000,1
34200.062285221,1,4,284,270400,-1
34200.074519401,1,5,130,269900,1
34200.188038300,1,6,626,270500,-1
34200.191332241,1,7,125,269800,1
34200.198191898,1,8,547,270600,-1
34200.225427529,1,9,386,269700,1
34200.225542258,1,10,685,270700,-1
34200.225561848,1,11,388,269600,1
34200.252349167,1,12,27,270800,-1
34200.349299060,1,13,870,269500,1
34200.361704920,1,14,192,270900,-1
34200.388166056,1,15,1246,269400,1
34200.450222084,1,16,411,271000,-1
34200.488280659,1,17,63,269300,1
34200.488392745,1,18,442,271100,-1
34200.620760133,1,19,279,269200,1
34200.677866000,1,20,396,271200,-1
34200.677920210,1,21,442,270400,-1
34200.725154362,1,22,51,270400,-1
34200.825207223,1,23,312,270600,-1
34200.943956878,1,24,686,270000,1
34200.944362344,3,1,190,270100,1
34200.964269525,4,2,102,270300,-1
34200.969589376,3,24,686,270000,1
34200.969640051,3,21,442,270400,-1
34200.969660598,1,25,870,269900,1
34200.969769678,3,4,284,270400,-1
34200.981110340,3,3,54,270000,1
34200.992648317,1,26,207,270000,1
34201.042330263,3,22,51,270400,-1
34201.129142811,1,27,141,270400,-1
34201.146230823,1,28,85,270700,-1
34201.146308850,1,29,1239,270500,-1
34201.166579378,1,30,435,269800,1
34201.166745344,3,26,207,270000,1
34201.213628306,1,31,124,270000,1
34201.285019500,3,27,141,270400,-1
34201.285168090,1,32,289,270700,-1
34201.331255844,1,33,297,270400,-1
34201.331358383,3,31,124,270000,1
34201.337576113,1,34,290,270000,1
34201.361901730,1,35,387,270000,1
34201.362081240,3,35,387,270000,1
34201.402650936,3,33,297,270400,-1
34201.466621547,1,36,251,270400,-1
34201.500380775,1,37,287,269600,1
34201.500558038,1,38,214,270500,-1
34201.500644688,1,39,325,270500,-1
34201.520063089,1,40,34,269600,1
34201.565559723,3,36,251,270400,-1
34201.570233716,1,41,118,270400,-1
34201.574055284,1,42,964,269900,1
34201.574254912,1,43,768,269600,1
34201.574295445,1,44,756,269900,1
34201.574299178,1,45,942,270500,-1
34201.601795848,1,46,1223,269900,1
34201.608982713,1,47,86,270600,-1
34201.746589612,1,48,101,270500,-1
34201.794880705,4,34,172,270000,1
34201.818814136,1,49,76,270700,-1
34201.818818695,3,34,118,270000,1
34201.941379084,1,50,170,270000,1
34201.973741478,3,50,170,270000,1
34202.082585130,1,51,142,269700,1
34202.082593587,1,52,78,269900,1
34202.105364136,1,53,34,270000,1
34202.139598797,2,41,96,270400,-1
34202.152409529,1,54,345,270600,-1
34202.231459189,3,53,34,270000,1
34202.238332159,1,55,273,270000,1
34202.272133704,3,41,22,270400,-1
34202.377464759,1,56,68,270400,-1
34202.429424041,1,57,1452,270600,-1
34202.429540818,1,58,218,270700,-1
34202.473549741,3,56,68,270400,-1
34202.492556235,1,59,194,270400,-1
34202.492706972,3,59,194,270400,-1
34202.542848395,1,60,209,270500,-1
34202.668920786,1,61,168,270600,-1
34202.669088404,1,62,101,270400,-1
34202.669141754,4,62,71,270400,-1
34202.705321919,3,62,30,270400,-1
34202.705405232,1,63,155,270400,-1
34202.754421796,3,63,155,270400,-1
34202.754522320,1,64,137,270600,-1
34202.771365150,1,65,243,270600,-1
34202.771403834,1,66,200,270400,-1
