34200.000000000,1,1,47,5831600,1,1
34200.000000001,1,1,46,2225600,1,2
34200.004345830,1,2,25,5833000,-1,1
34200.006210473,1,2,24,2226800,-1,2
34200.096943970,1,3,80,5831500,1,1
34200.144182902,1,3,79,2225500,1,2
34200.208333265,1,4,13,5833100,-1,1
34200.208589427,1,5,18,5831400,1,1
34200.208726178,1,6,96,5833200,-1,1
34200.282610808,1,7,74,5831300,1,1
34200.283136669,1,8,8,5833300,-1,1
34200.294902312,1,9,10,5831200,1,1
34200.295252214,1,10,47,5833400,-1,1
34200.295311907,1,11,96,5831100,1,1
34200.310154378,1,4,12,2226900,-1,2
34200.310419677,1,5,18,2225400,1,2
34200.310561314,1,6,93,2227000,-1,2
34200.337034388,1,12,7,5833500,-1,1
34200.420635803,1,7,71,2225300,1,2
34200.421180443,1,8,8,2227100,-1,2
34200.438473239,1,9,10,2225200,1,2
34200.438835629,1,10,44,2227200,-1,2
34200.438897450,1,11,93,2225100,1,2
34200.487528281,1,13,192,5831000,1,1
34200.500934162,1,12,7,2227300,-1,2
34200.507013145,1,14,47,5833600,-1,1
34200.548231254,1,15,286,5830900,1,1
34200.548487382,1,16,33,5833700,-1,1
34200.650102434,1,17,29,5830800,1,1
34200.725171992,1,13,192,2225000,1,2
34200.753994331,1,14,44,2227400,-1,2
34200.815277695,1,15,286,2224900,1,2
34200.817338906,1,18,119,5833800,-1,1
34200.944165531,1,19,100,5830700,1,1
34200.944222874,1,20,82,5833900,-1,1
34200.958808618,1,16,98,2227500,-1,2
34200.998727200,3,2,25,5833000,-1,1
34201.046876587,1,17,16,2224800,1,2
34201.130737214,2,1,26,5831600,1,1
34201.198723716,3,4,13,5833100,-1,1
34201.275604928,1,21,16,5831500,1,1
34201.296061071,1,18,30,2227600,-1,2
34201.381951482,3,6,96,5833200,-1,1
34201.449903778,1,22,31,5833400,-1,1
34201.450506949,1,23,257,5831400,1,1
34201.451042534,1,24,16,5833500,-1,1
34201.485034380,1,19,97,2224700,1,2
34201.485093764,1,20,79,2227700,-1,2
34201.566221604,3,2,24,2226800,-1,2
34201.601596831,2,1,21,5831600,1,1
34201.602179374,1,25,278,5833700,-1,1
34201.760901626,3,8,8,5833300,-1,1
34201.762918215,2,1,26,2225600,1,2
34201.864183197,3,4,12,2226900,-1,2
34201.966370412,1,26,220,5831100,1,1
34201.978733416,1,21,89,2226900,-1,2
34201.979041096,1,22,37,2227100,-1,2
34202.020525270,4,10,7,5833400,-1,1
34202.020645776,3,22,31,5833400,-1,1
34202.039203730,3,21,89,2226900,-1,2
34202.039606145,1,23,89,2225500,1,2
34202.039836837,1,24,81,2227400,-1,2
34202.040375424,1,25,82,2225600,1,2
34202.111786429,3,10,40,5833400,-1,1
34202.193978646,1,26,32,2225600,1,2
34202.224766284,3,6,93,2227000,-1,2
34202.241538404,1,27,5,5831500,1,1
34202.241900322,3,24,16,5833500,-1,1
34202.242236185,1,28,154,5831300,1,1
34202.242366532,3,27,5,5831500,1,1
34202.278401787,3,3,80,5831500,1,1
34202.477351665,1,29,21,5833500,-1,1
34202.503167521,1,30,36,5831400,1,1
34202.530917420,1,27,220,2225200,1,2
34202.547210166,3,21,16,5831500,1,1
34202.610243880,3,12,7,5833500,-1,1
34202.611523284,4,8,2,2227100,-1,2
34202.611648087,3,22,37,2227100,-1,2
34202.709544479,2,30,36,5831400,1,1
34202.747448837,3,8,6,2227100,-1,2
34202.927278045,1,31,4,5831000,1,1
34202.940780948,2,26,25,2225600,1,2
34202.940861548,1,28,91,2227200,-1,2
34202.943966835,3,1,20,2225600,1,2
34202.965563144,2,23,59,5831400,1,1
34202.965758268,1,32,32,5833700,-1,1
34202.966320944,1,33,14,5831300,1,1
34203.109089329,3,26,7,2225600,1,2
34203.149602323,3,29,21,5833500,-1,1
34203.212034949,1,34,8,5831100,1,1
34203.212563460,2,14,46,5833600,-1,1
34203.231610702,1,35,45,5833500,-1,1
34203.239345926,3,10,44,2227200,-1,2
34203.248140214,3,35,45,5833500,-1,1
34203.291357106,1,36,74,5833600,-1,1
34203.300434138,1,29,27,2227300,-1,2
34203.300826918,1,30,33,2225500,1,2
34203.366329047,3,25,82,2225600,1,2
34203.417254145,4,5,18,5831400,1,1
34203.460196490,3,28,91,2227200,-1,2
34203.608155647,2,30,33,2225500,1,2
34203.648212865,1,37,60,5833900,-1,1
34203.702380366,1,38,240,5834000,-1,1
34203.705656179,1,39,49,5831200,1,1
34203.706131679,3,14,1,5833600,-1,1
34203.713276024,3,36,74,5833600,-1,1
34203.713719616,3,25,278,5833700,-1,1
34203.714040454,3,23,198,5831400,1,1
34203.714261414,3,7,74,5831300,1,1
34203.720294654,3,32,32,5833700,-1,1
34203.834814674,1,40,173,5833800,-1,1
34203.932581460,1,31,4,2225100,1,2
34203.989484058,2,23,58,2225500,1,2
34203.989686147,1,32,29,2227500,-1,2
34203.990268904,2,3,39,2225500,1,2
34204.008900666,1,41,16,5833900,-1,1
34204.009065312,1,42,39,5833900,-1,1
34204.172569143,1,43,215,5831000,1,1
34204.296755453,1,33,2,2227300,-1,2
34204.310788899,1,44,21,5834100,-1,1
34204.379969159,1,45,274,5831200,1,1
34204.403927047,3,33,14,5831300,1,1
34204.455445684,1,34,82,2227200,-1,2
34204.500563599,1,46,99,5833800,-1,1
34204.501130482,1,47,9,5833900,-1,1
34204.526143745,1,48,240,5834000,-1,1
34204.526193112,1,49,240,5833900,-1,1
34204.526482360,4,28,124,5831300,1,1
34204.557585446,3,16,33,5833700,-1,1
34204.587030147,3,34,82,2227200,-1,2
34204.615198839,1,35,44,2227200,-1,2
34204.639607019,3,35,44,2227200,-1,2
34204.703875807,1,36,71,2227300,-1,2
34204.790818584,1,50,23,5833700,-1,1
34204.810302620,1,51,76,5831000,1,1
34204.868579798,2,50,3,5833700,-1,1
34204.888401546,3,28,30,5831300,1,1
34204.891464003,4,3,40,2225500,1,2
34204.958264829,1,52,81,5831300,1,1
34204.964532048,1,53,5,5833800,-1,1
34204.965127393,3,50,20,5833700,-1,1
34204.965204368,1,54,10,5833700,-1,1
34204.989303841,3,52,81,5831300,1,1
34205.034982591,1,55,34,5831300,1,1
34205.113089643,1,56,8,5831100,1,1
34205.113341909,3,54,10,5833700,-1,1
34205.185483223,1,57,10,5833700,-1,1
34205.235595468,1,37,57,2227600,-1,2
34205.241633604,1,58,179,5831200,1,1
34205.316220218,1,38,240,2227700,-1,2
34205.320832512,1,39,46,2225300,1,2
34205.321324980,3,33,2,2227300,-1,2
34205.331715351,3,36,71,2227300,-1,2
34205.349786578,1,59,224,5833900,-1,1
34205.401836329,1,60,47,5831100,1,1
34205.471890655,3,57,10,5833700,-1,1
34205.472297666,1,61,53,5833700,-1,1
34205.482537558,3,12,7,2227300,-1,2
34205.619180903,1,62,197,5831100,1,1
34205.683313381,1,63,65,5833900,-1,1
34205.753276935,3,55,34,5831300,1,1
34205.753840540,1,64,14,5831300,1,1
34205.773485844,3,23,31,2225500,1,2
34205.773714694,3,5,18,2225400,1,2
34205.782445503,2,29,27,2227300,-1,2
34205.884613734,1,65,100,5834000,-1,1
34206.061350202,3,64,14,5831300,1,1
34206.095052682,3,24,81,2227400,-1,2
34206.095630311,1,40,100,2227400,-1,2
34206.097704670,3,40,100,2227400,-1,2
34206.152191268,4,14,5,2227400,-1,2
34206.281658113,1,66,22,5833800,-1,1
34206.388097613,1,67,100,5833800,-1,1
34206.442220615,1,68,36,5833600,-1,1
34206.467539072,1,69,2,5831100,1,1
34206.493124128,3,7,71,2225300,1,2
34206.493456612,3,39,46,2225300,1,2
34206.510258640,1,70,81,5831100,1,1
34206.510340073,3,45,274,5831200,1,1
34206.554781259,1,71,98,5831100,1,1
34206.554820967,3,9,10,5831200,1,1
34206.555111788,1,72,20,5833700,-1,1
34206.595267024,1,41,25,2227300,-1,2
34206.595578976,2,41,5,2227300,-1,2
34206.635276638,1,42,37,2225100,1,2
34206.681282524,2,41,20,2227300,-1,2
34206.681812063,1,43,24,2227300,-1,2
34206.681980657,4,43,24,2227300,-1,2
34206.723932967,1,73,24,5833600,-1,1
34206.724298145,1,74,24,5830800,1,1
34206.740639801,1,75,16,5833700,-1,1
34206.746144170,3,58,179,5831200,1,1
34206.765710289,1,44,98,2227300,-1,2
34206.778439542,1,76,12,5833800,-1,1
34206.809261457,1,77,70,5830900,1,1
34206.822441149,3,39,49,5831200,1,1
34206.836327577,1,78,26,5831200,1,1
34206.837354106,3,27,220,2225200,1,2
34206.872374799,3,44,98,2227300,-1,2
